ano,clave,autores,docu,capitulo,titulo,editores,editorial,ciudad,paginas,ISBN,enlace,SPI,GS
2023,Capítulo,"CARVAJAL, Miguel; BARINAGAMERRENTERIA, Iker",Investigacion_Libros_2023_Sponsor.pdf,"The Creation of Branded Content Teams in Spanish News Organizations and Their Implications for Structures, Professional Roles and Ethics",Sponsored Editorial Content in Digital Journalism,"HARDY, Jonathan",Routledge,Reino Unido,,978-1032453545,,Q1,
2023,Capítulo,"CARVAJAL, Miguel; VALERO-PASTOR, José María",Investigacion_Libros_2023_JOIN.pdf,Surfing the waves of crises. Spain&#39;s framework conditions for innovation in journalism,Journalism Innovation for Democratic Society,"MEIER, Klaus; Weiz, Vincenz; KALTENBRUNNER, Andy; GARCÍA AVILÉS, José Alberto",Routledge,Reino Unido,,,,Q1,
2023,Capítulo,"MARÍN-SANCHIZ, Cristian-Ramón; VALERO-PASTOR, José M.; CARVAJAL, Miguel; ARIAS-ROBLES, Félix",Investigacion_Libros_2023_Springer.pdf,Mapping the Use of Artificial Intelligence for the Optimization of Paywalls in the News Media Industry,Digital Disruption and Media Transformation,"GODULLA, A; BOHM, S.",Springer,Switzerland,,,,Q1,
2023,Capítulo,"CARVAJAL, Miguel; ARIAS, Félix;",Investigacion_Libros_2023_Video.pdf,Los formatos de vídeo periodístico online,Manual de nuevos formatos y narrativas para el periodismo y la no ficción,"HERRERA, Susana; ROJAS, José Luis",Tirant lo Blanch,Valencia,,,,Q1,
2022,Capítulo,"DE LARA-GONZÁLEZ, A.; MONDÉJAR, D.; GARCÍA-AVILÉS, J. A; CARVAJAL, M.",Investigacion_Libros_2022_ICOMTA.pdf,Propuesta metodológica para la medición de la innovación periodística desde la óptica del impacto y de los resultados,"Periodismo, comunicación y servicio público","BARREDO, Daniel; PUENTES, Iván; RÚAS, José",Tirant lo Blanch,Valencia,119-140,978-84-18970-43-6,,Q1,
2020,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2020_NAU.pdf,Cada palabra cuenta. El reportaje periodístico,Lenguajes Periodísticos: La herramienta más valiosa,,Nau Llibres,Valencia,69-84,978-84-18047350,,Q3,
2018,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2018_PISTAS.pdf,Varios,Pistas y tendencias sobre la innovación periodística,"GARCÍA AVILÉS, José Alberto",Diego Marín,Murcia,107-111,978-84-948233-1-2,,No,
2016,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2016_MOBILE_FIRST.pdf,"Innovaciones en el modelo de negocio: recuperar la marca, el tiempo y el espacio para generar más ingresos publicitarios",Mobile First. Comunicación multipantalla,"JURADO, Monserrat; ARIAS, Félix; DE LARA, Alicia",Diego Marín,Murcia,173-186,978-84-16908-75-2,,No,
2016,Capítulo,"CARVAJAL, Miguel; ARIAS, Félix; NEGREDO, Samuel; AMOEDO, Avelino",Investigacion_Libros_2016_INNOVA_EUNSA.pdf,La selección de la muestra y el diseño metodológico,Innovación y desarrollo de los cibermedios en España,"SÁDABA, Charo; GARCÍA AVILÉS, José Alberto; MARTÍNEZ COSTA, Maria Pilar",Eunsa,Pamplona,73-87,978-84-313312-5-2,,Q2,
2016,Capítulo,"CARVAJAL, Miguel; GARCÍA-AVILÉS, José-Alberto; DE LARA, Alicia; ARIAS, Félix",Investigacion_Libros_2016_BCN.pdf,Let’s keep them engaged. Exploring strategies of audience participation among the most innovative journalistic initiatives in Spain,Shaping the Future of News Media,"Da Rocha, I; Singla, C.; Ramon, X",Integrated Journalism in Europe,Barcelona,93-123,978-84-606-9569-1,,No,
