fecha,clave,autor,paper,docu,titulo,sede,ciudad,docu_1
2021,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2021_COMUNICA2.pdf,Comunica 2.0: XI Congreso Internacional de tecnología y comunicación,Universitat Politècnica de València,Gandía (España),
2020,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2020_COMUNICA2.pdf,Comunica 2.0: X Congreso Internacional de tecnología y comunicación,Universitat Politècnica de València,Gandía (España),
2019,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2019_COMUNICA2.pdf,Comunica 2.0: IX Congreso Internacional de tecnología y comunicación,Universitat Politècnica de València,Gandía (España),
2018,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2018_COMUNICA2.pdf,Comunica 2.0: VIII Congreso Internacional sobre redes sociales,Universitat Politècnica de València,Gandía (España),
2018,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2018_Informativo.pdf,"XIV Jornadas Internacionales de Periodismo UMH ""La reinvención del informativo""",Universidad Miguel Hernández de Elche,Elche (España),
2017,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2017_SEP.pdf,XXIII Congreso Internacional de la Sociedad Española de Periodística,Universidad Miguel Hernández de Elche,Elche (España),
2017,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2017_COMUNICA2.pdf,Comunica 2.0: VII Congreso Internacional sobre redes sociales,Universitat Politècnica de València,Gandía (España),
2016,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2016_Mobile.pdf,"XI Jornadas Internacionales de Periodismo UMH ""Mobile first""",Universidad Miguel Hernández de Elche,Elche (España),
2015,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2015_COMUNICA2.pdf,Comunica 2.0: IV Congreso Internacional sobre redes sociales,Universitat Politècnica de València,Gandía (España),
2014,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2014_ComCor.pdf,"IX Jornadas Internacionales de Periodismo UMH ""Comunicación corporativa""",Universidad Miguel Hernández de Elche,Elche (España),
2013,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2013_Repor_TV.pdf,"VIII Jornadas Internacionales de Periodismo UMH ""El reportaje televisivo""",Universidad Miguel Hernández de Elche,Elche (España),
2012,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2012_Mutante.pdf,"VII Jornadas Internacionales de Periodismo UMH ""Periodismo mutante""",Universidad Miguel Hernández de Elche,Elche (España),
2011,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2011_Abre.pdf,"IV Congreso de Hispanistas Abre los ojos ""Traducir una cultura a otra""",Escuela Superior de Filología de Wroclaw,Wroclaw (Polonia),
2011,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2011_MPC.pdf,"VI Jornadas Internacionales de Periodismo UMH ""Medios, política y ciudadanía""",Universidad Miguel Hernández de Elche,Elche (España),
2009,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2009_Reinventar.pdf,"IV Jornadas Internacionales de Periodismo UMH ""Reinventar los medios locales""",Universidad Miguel Hernández de Elche,Elche (España),
2008,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2008_Pekin.pdf,"III Jornadas Internacionales de Periodismo UMH ""Mirando a Pekín: periodismo y deporte olímpico""",Universidad Miguel Hernández de Elche,Elche (España),
2007,Comité,"CARVAJAL, Miguel",,Investigacion_Congresos_Comite_2007_Arquitectura.pdf,"II Jornadas Internacionales de Periodismo UMH ""La arquitectura de la información""",Universidad Miguel Hernández de Elche,Elche (España),
