anos,titulo,docu,entidad,grado,cuantia,referencia,meses,ip,equipo
2021-2024,Iberifier | Iberian Digital Media Research and Fact-Checking Hub,Investigacion_Proyectos_2021_IBERIFIER.pdf,Comisión Europea (European Digital Media Observatory),Investigador colaborador,1.470.000 €,2020-EU-IA-0252,,Ramón Salaverría,30
2020-2024,"Journalism Innovation in Democratic Societies: Index, Impact and Prerequisites in International Comparison (JoIn-DemoS)",Investigacion_Proyectos_2020_JoINDemos.pdf,German Research Foundation (DFG),Investigador colaborador,300.000 €,438677067,,Klaus Meier,19
2017-2019,Hacia un periodismo inclusivo. Convergencia y rol del periodismo español en el escenario de la comunicación global,Investigacion_Proyectos_2018_CSO2016-81882-REDT.pdf,"Ministerio de Economía, Industria y Competitividad",Investigador colaborador,20.000 €,CSO2016-81882-REDT,,Pere Masip,10
2014-2016,"El sistema de investigación en España sobre prácticas sociales de Comunicación. Mapa de Proyectos, Grupos, Líneas, Objetos de estudio y Métodos",Investigacion_Proyectos_2013_CSO2013-47933-C4-4-P.pdf,Ministerio de Economía y Competitividad,Investigador colaborador,89.000 €,CSO2013-47933-C4-1P,36,José Luis Piñuel / Javier Marzal,24
2013-2015,Innovación y desarrollo de los cibermedios en España: modelos de negocio y coordinación multiplataforma,Investigacion_Proyectos_2012_CSO2012-38467-C03.pdf,Ministerio de Economía y Competitividad,Investigador colaborador,35.100 €,CSO2012-38467-C03-02,,Charo Sádaba,13
2012-2012,Los medios de comunicación ante la encrucijada digital: estrategias de producto y de distribución en plataformas móviles,Investigacion_Proyectos_2011_UMH_Proyectos.pdf,Universidad Miguel Hernández,Investigador principal,4.250 €,ARVIV/2007/072,,Miguel Carvajal,6
2009-2012,Evolución de los cibermedios españoles en el marco de la convergencia. Multiplataforma e integración periodística,Investigacion_Proyectos_2009_CSO2009-13713-C05-03.pdf,Ministerio de Ciencia e Innovación,Investigador colaborador,29.040 €,CSO2009-13713-C05-03,,Ramón Salaverría,15
2009-2010,Newsroom convergence in multimedia organisations in Spain and Austria: quality models in the production of news,Investigacion_Proyectos_2008_HA2008-0002.pdf,Programa de Acciones Integradas de la Agencia Estatal de Investigación,Investigador colaborador,11.900 €,HA2008-0002,,José Alberto García Avilés (España) / Matthias Karmasin (Austria),5
2007-2008,Newsroom Convergence: A transnational comparison,Investigacion_Proyectos_2012_CSO2012-38467-C03.pdf,Austrian Communications Authority,Investigador colaborador,3.000 €,PresseFG2004,,Andy Kaltenbrunner (Austria) / José Alberto García Avilés (España),5
2000-2003,Nuevas tendencias y desafíos de la concentración de empresas de comunicación en Europa,Investigacion_Proyectos_2001_PIUNA.pdf,PIUNA,Investigador colaborador,12.000 €,01/01/2000-P2Y,,Alfonso Sánchez Tabernero,10
2000-2001,Globalization of the media industry and possible threats to cultural diversity,Investigacion_Proyectos_2000_STOA2000-13-01.pdf,STOA/Parlamento Europeo,Investigador colaborador,38.000 €,EP/IV/A/STOA/2000/13/01,,Teresa Laporte,6
